,bias,sentiment,pos,PosScore,NegScore,Gloss,c2
93976,"[730, 1421]","[1304, 107, 173, 84, 483]",n,0.0,0.0,the 9th letter of the Roman alphabet,i
100705,"[18, 340]","[324, 7, 3, 1, 23]",n,0.125,0.375,the emotion of intense dislike; a feeling of dislike so strong that it demands action,hate
62078,"[5, 4]","[4, 0, 2, 1, 2]",n,0.125,0.0,a room in a hospital or clinic staffed and equipped to provide emergency care to persons requiring immediate medical treatment,er
32629,"[15, 4]","[5, 0, 1, 6, 7]",n,0.0,0.0,"the act of pursuing in an effort to overtake or capture; ""the culprit started to run and the cop took off in pursuit""",chase
59451,"[15, 4]","[5, 0, 1, 6, 7]",n,0.0,0.0,a rectangular metal frame used in letterpress printing to hold together the pages or columns of composed type that are printed at one time,chase
49134,"[7, 101]","[100, 1, 2, 2, 3]",n,0.0,0.0,female of any member of the dog family,bitch
97457,"[7, 101]","[100, 1, 2, 2, 3]",n,0.0,0.125,"informal terms for objecting; ""I have a gripe about the service here""",bitch
121047,"[7, 101]","[100, 1, 2, 2, 3]",n,0.125,0.0,"a person (usually but not necessarily a woman) who is thoroughly disliked; ""she said her son thought Hillary was a bitch""",bitch
34822,"[98, 78]","[70, 9, 9, 29, 59]",n,0.0,0.0,"activity directed toward making or doing something; ""she checked several points needing further work""",work
34828,"[98, 78]","[70, 9, 9, 29, 59]",n,0.375,0.0,"performance of moral or religious acts; ""salvation by deeds""; ""the reward for good works""",work
34890,"[98, 78]","[70, 9, 9, 29, 59]",n,0.0,0.0,"the occupation for which you are paid; ""he is looking for employment""; ""a lot of people are out of work""",work
67361,"[98, 78]","[70, 9, 9, 29, 59]",n,0.0,0.0,"the total output of a writer or artist (or a substantial part of it); ""he studied the entire Wagnerian oeuvre""; ""Picasso's work can be divided into periods""",work
68510,"[98, 78]","[70, 9, 9, 29, 59]",n,0.0,0.0,"buildings for carrying on industrial labor; ""they built a large plant to manufacture automobiles""",work
74466,"[98, 78]","[70, 9, 9, 29, 59]",n,0.0,0.0,"a product produced or accomplished through the effort or activity or agency of a person or thing; ""it is not regarded as one of his more memorable works""; ""the symphony was hailed as an ingenious work""; ""he was indebted to the pioneering work of John Dewey""; ""the work of an active imagination""; ""erosion is the work of wind or water over time""",work
74487,"[98, 78]","[70, 9, 9, 29, 59]",n,0.0,0.0,a mine or quarry that is being or has been worked,work
74492,"[98, 78]","[70, 9, 9, 29, 59]",n,0.0,0.0,"a place where work is done; ""he arrived at work early today""",work
74494,"[98, 78]","[70, 9, 9, 29, 59]",n,0.0,0.0,the internal mechanism of a device,work
85361,"[98, 78]","[70, 9, 9, 29, 59]",n,0.125,0.0,"applying the mind to learning and understanding a subject (especially by reading); ""mastering a second language requires a lot of work""; ""no schools offer graduate study in interior design""",work
108884,"[0, 14]","[7, 4, 0, 2, 1]",n,0.0,0.0,"a location other than here; that place; ""you can take it from there""",there
78540,"[2225, 955]","[1503, 105, 242, 346, 984]",n,0.0,0.0,"(thermodynamics) a thermodynamic quantity representing the amount of energy in a system that is no longer available for doing mechanical work; ""entropy increases as matter and energy in the universe degrade to an ultimate state of inert uniformity""",s
93986,"[2225, 955]","[1503, 105, 242, 346, 984]",n,0.0,0.0,the 19th letter of the Roman alphabet,s
106715,"[2225, 955]","[1503, 105, 242, 346, 984]",n,0.0,0.0,special police force in Nazi Germany founded as a personal bodyguard for Adolf Hitler in 1925; the SS administered the concentration camps,s
107817,"[2225, 955]","[1503, 105, 242, 346, 984]",n,0.0,0.0,the United States intelligence agency that protects current and former presidents and vice presidents and their immediate families and protects distinguished foreign visitors; detects and apprehends counterfeiters; suppresses forgery of government securities and documents,s
36201,"[10, 45]","[46, 1, 0, 1, 7]",n,0.75,0.0,morally objectionable behavior,evil
76817,"[10, 45]","[46, 1, 0, 1, 7]",n,0.375,0.5,"the quality of being morally wrong in principle or practice; ""attempts to explain the origin of evil in the world""",evil
79765,"[10, 45]","[46, 1, 0, 1, 7]",n,0.0,0.75,"that which causes harm or destruction or misfortune; ""the evil that men do lives after them; the good is oft interred with their bones""- Shakespeare",evil
102771,"[0, 3]","[2, 0, 0, 0, 1]",n,0.0,0.0,large sweet fleshy tropical fruit with a terminal tuft of stiff leaves; widely cultivated,pineapple
103945,"[8, 6]","[12, 0, 0, 0, 2]",n,0.0,0.0,Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese,pizza
93994,"[13, 80]","[76, 0, 4, 5, 8]",n,0.0,0.0,the 25th letter of the Roman alphabet,y
117732,"[2, 231]","[212, 2, 3, 1, 15]",n,0.0,0.0,"(ethnic slur) extremely offensive name for a Black person; ""only a Black can call another Black a nigga""",nigga
4177,"[9, 17]","[19, 0, 1, 2, 4]",a,0.0,0.875,"disgustingly dirty; filled or smeared with offensive matter; ""as filthy as a pigsty""; ""a foul pond""; ""a nasty pigsty of a room""",nasty
4212,"[9, 17]","[19, 0, 1, 2, 4]",a,0.125,0.75,"characterized by obscenity; ""had a filthy mouth""; ""foul language""; ""smutty jokes""",nasty
7166,"[9, 17]","[19, 0, 1, 2, 4]",a,0.0,0.75,"exasperatingly difficult to handle or circumvent; ""a nasty problem""; ""a good man to have on your side in a tight situation""",nasty
15121,"[9, 17]","[19, 0, 1, 2, 4]",a,0.0,0.875,"offensive or even (of persons) malicious; ""in a nasty mood""; ""a nasty accident""; ""a nasty shock""; ""a nasty smell""; ""a nasty trick to pull""; ""Will he say nasty things at my funeral?""- Ezra Pound",nasty
36776,"[16, 9]","[9, 1, 2, 8, 5]",n,0.0,0.0,the act of retaining something,keep
36841,"[16, 9]","[9, 1, 2, 8, 5]",n,0.0,0.0,"the responsibility of a guardian or keeper; ""he left his car in my keeping""",keep
40202,"[16, 9]","[9, 1, 2, 8, 5]",n,0.625,0.0,"conformity or harmony; ""his behavior was not in keeping with the occasion""",keep
64373,"[16, 9]","[9, 1, 2, 8, 5]",n,0.0,0.0,a cell in a jail or prison,keep
65180,"[16, 9]","[9, 1, 2, 8, 5]",n,0.0,0.0,the main tower within the walls of a medieval castle or fortress,keep
37573,"[85, 36]","[43, 6, 3, 28, 41]",n,0.0,0.0,"the act of giving a talk to an audience; ""I attended an interesting talk on local history""",talk
96793,"[85, 36]","[43, 6, 3, 28, 41]",n,0.0,0.125,"an exchange of ideas via conversation; ""let's have more work and less talk around here""",talk
96794,"[85, 36]","[43, 6, 3, 28, 41]",n,0.0,0.125,"an exchange of ideas via conversation; ""let's have more work and less talk around here""",talk
96834,"[85, 36]","[43, 6, 3, 28, 41]",n,0.0,0.0,"discussion; (`talk about' is a less formal alternative for `discussion of'); ""his poetry contains much talk about love and anger""",talk
96900,"[85, 36]","[43, 6, 3, 28, 41]",n,0.0,0.0,"a discussion intended to produce an agreement; ""the buyout negotiation lasted several days""; ""they disagreed but kept an open dialogue""; ""talks between Israelis and Palestinians""",talk
97586,"[85, 36]","[43, 6, 3, 28, 41]",n,0.0,0.125,"idle gossip or rumor; ""there has been talk about you lately""",talk
