,loglikelihood,Non-Bias,Bias
i,-0.5362341483507554,5456,3191
hate,1.9198768321211475,49,340
er,-0.6931298202941686,19,9
chase,-1.6094205521683236,24,4
bitch,2.545548631870212,7,101
work,-0.5919798371726858,1427,789
there,-0.7045324523919801,440,217
s,-0.8796267484986036,2303,955
evil,0.784136319031449,20,45
pineapple,1.3863117213856675,0,3
pizza,-1.2729483155471109,24,6
y,0.38567984107776165,67,99
nigga,4.348142443263977,2,231
nasty,0.587804025167896,9,17
keep,-0.5602220634865526,400,228
talk,-0.9029555092762291,633,256
woman,-0.40701146981857034,639,425
wear,-0.4895308650529288,61,37
weave,1.3863117213856675,0,3
sick,0.7905387048508984,43,96
a,-0.4932909562954821,11807,7209
as,3.3232532004582205,3,110
idiot,3.4746422104827497,6,225
put,0.3128053538486342,176,241
sticker,1.3863117213856675,0,3
it,-0.37739087646208835,3654,2505
to,-0.7489765597847313,22497,10637
go,-0.724766905237351,577,279
fuck,3.279853884923665,6,185
people,-0.07699228472464653,822,761
like,-0.13794208387447773,775,675
http,6.0833771720780145,3,1753
t,1.7594975888078228,445,2590
co,3.4373943985054347,56,1772
m,-0.1845539162621932,266,221
watch,-0.9894479636920034,658,244
republican,0.5223704892028348,206,348
party,0.103395714719612,100,111
reward,-0.15413331956148124,27,23
democracy,0.09886319490240963,76,84
dumbass,2.197241937601996,0,8
bronco,-0.6931298202941684,5,2
fan,-0.4455677416318129,88,56
swear,2.833230704321993,0,16
sample,-2.4848892895222234,11,0
jaw,0.2876994327175578,2,3
pull,-0.2383936631792214,32,25
pistol,-1.0985949284023326,8,2
look,-0.8109128559505517,683,303
dam,-1.8971026246201044,19,2
he,0.47187112879967397,674,1081
see,-1.1800103198878413,728,223
litter,1.0986296489338867,0,2
re,0.6557770087541017,108,209
don,0.7007117464611051,131,265
out,-0.7901220862814781,1189,539
anger,0.11780039592216032,7,8
u,-0.8088551306346693,2305,1026
splicer,1.0986296489338867,0,2
seal,-1.5260389432292722,22,4
in,-0.982060315778139,12556,4702
hell,1.5533658060488336,21,103
bad,0.3373446632067232,166,233
hurt,0.8292967151503022,47,109
feeling,-0.1823041965281778,5,4
trump,3.5761995086580325,18,678
trade,-0.3693427432002712,67,46
here,-1.1118401551523533,1367,449
tell,-0.007362747031845605,135,134
tv,-1.4118103028592786,118,28
show,-1.0141775865897498,578,209
or,-0.27949187043012974,852,644
movie,-2.5902498051800498,119,8
shut,1.0986296489338865,24,74
side,-0.3980127693548693,66,44
question,-1.4725613694511261,374,85
position,0.10355803920661713,54,60
dude,1.1451496645687793,6,21
syria,0.58166903660038,108,194
torus,-1.2527456082295911,6,1
an,-0.5515896480588396,1367,787
time,-0.38361001427271385,1154,786
might,0.02716834933172755,108,111
wit,2.197241937601996,0,8
line,-1.4453105324383066,156,36
film,-3.1675651702148735,94,3
order,0.4571544789182621,87,138
rf,0.6931645408257223,0,1
p,-0.4818207266269615,101,62
jap,0.6931645408257223,0,1
battle,-1.3156594336401604,81,21
crazy,0.4700209895115125,19,31
awe,0.6931645408257223,0,1
snap,0.6167915620411482,33,62
forest,-2.944421618900664,94,4
me,-0.9057341577202069,1226,495
pepsi,2.079458901945613,0,7
no,0.2775961181350038,571,754
need,-0.1419529010046104,951,825
retard,2.6390746898810353,0,13
message,-0.48128582423389205,88,54
positivity,-1.0985949284023329,5,1
try,-0.14308348337489651,119,103
want,-0.20207278185060043,469,383
start,-1.00678737914921,311,113
soldier,-1.3966397878896604,96,23
